element,tag,id,type,class,name,aria-autocomplete,title,href,text,value,aria-label
Show,span,None,None,rounded-r inline-block bg-white text-size-12 text-gray-70 font-normal leading-height-40 h-0 block p-0 border-none cursor-pointer hover:text-black,None,None,None,None,Show,None,None
LOGIN,div,None,None,mt-20,None,None,None,None,LOGIN,None,None
LOGIN,button,login-button,submit,rounded block w-full text-size-14 h-40 tracking-widest font-bold uppercase g-recaptcha bg-black text-white disabled:opacity-50,None,None,None,None,LOGIN,None,None
"Forgot Password?
No account? Sign up",div,None,None,mt-20,None,None,None,None,"Forgot Password?
No account? Sign up",None,None
"Forgot Password?
No account? Sign up",p,None,None,None,None,None,None,None,"Forgot Password?
No account? Sign up",None,None
"Forgot Password?
No account? Sign up",span,None,None,clearfix,None,None,None,None,"Forgot Password?
No account? Sign up",None,None
Forgot Password?,span,None,None,float-left,None,None,None,None,Forgot Password?,None,None
Forgot Password?,a,None,None,t_shadow-none ml-0 text-size-12 text-black font-medium inline-block underline hover:underline hover:text-lambda-900,None,None,None,https://accounts.lambdatest.com/password/reset,Forgot Password?,None,None
No account? Sign up,span,None,None,float-right text-size-12 text-[#655F5F],None,None,None,None,No account? Sign up,None,None
Sign up,a,None,None,ml-12 text-size-12 text-black cursor-pointer font-medium inline-block t_shadow-none underline  hover:underline hover:text-lambda-900,None,None,None,https://accounts.lambdatest.com/register,Sign up,None,None
By clicking Login or signing in through a third party you accept the LambdaTest Terms of Service and acknowledge the Privacy Policy and Cookie Policy,div,None,None,mt-20 text-xs leading-5 min-w-full,None,None,None,None,By clicking Login or signing in through a third party you accept the LambdaTest Terms of Service and acknowledge the Privacy Policy and Cookie Policy,None,None
By clicking Login or signing in through a third party you accept the LambdaTest Terms of Service and acknowledge the Privacy Policy and Cookie Policy,p,None,None,None,None,None,None,None,By clicking Login or signing in through a third party you accept the LambdaTest Terms of Service and acknowledge the Privacy Policy and Cookie Policy,None,None
Terms of Service,a,None,None,text-lambda-900 hover:underline,None,None,None,https://www.lambdatest.com/terms-of-service,Terms of Service,None,None
Privacy Policy,a,None,None,text-lambda-900 hover:underline,None,None,None,https://www.lambdatest.com/privacy,Privacy Policy,None,None
Cookie Policy,a,None,None,text-lambda-900 hover:underline,None,None,None,https://www.lambdatest.com/legal/cookie,Cookie Policy,None,None
"Home
About
Reviews
Integrations
Privacy
Terms",div,None,None,flex items-center justify-center xxxl:mt-65 xxl:mt-57 mt-50,None,None,None,None,"Home
About
Reviews
Integrations
Privacy
Terms",None,None
Home,a,None,None,xxxl:text-size-18  xxl:text-size-16 md:text-size-14 text-size-9 font-normal text-gray-110 tracking-custom  hover:underline hover:text-gray-110,None,None,None,https://www.lambdatest.com/,Home,None,None
None,span,None,None,xxxl:w-6 xxl:w-5 w-4 xxxl:h-6 xxl:h-5 h-4 rounded-full bg-gray-110 xxxl:mx-23 xxl:mx-19 md:mx-15 mx-5,None,None,None,None,None,None,None
About,a,None,None,xxxl:text-size-18 xxl:text-size-16 md:text-size-14 text-size-9 font-normal text-gray-110 tracking-custom  hover:underline hover:text-gray-110,None,None,None,https://www.lambdatest.com/about,About,None,None
None,span,None,None,xxxl:w-6 xxl:w-5 w-4 xxxl:h-6 xxl:h-5 h-4 rounded-full bg-gray-110 xxxl:mx-23 xxl:mx-19 md:mx-15 mx-5,None,None,None,None,None,None,None
Reviews,a,None,None,xxxl:text-size-18 xxl:text-size-16 md:text-size-14 text-size-9 font-normal text-gray-110 tracking-custom  hover:underline hover:text-gray-110,None,None,None,https://www.lambdatest.com/reviews,Reviews,None,None
None,span,None,None,xxxl:w-6 xxl:w-5 w-4 xxxl:h-6 xxl:h-5 h-4 rounded-full bg-gray-110 xxxl:mx-23 xxl:mx-19 md:mx-15 mx-5,None,None,None,None,None,None,None
Integrations,a,None,None,xxxl:text-size-18 xxl:text-size-16 md:text-size-14 text-size-9 font-normal text-gray-110 tracking-custom  hover:underline hover:text-gray-110,None,None,None,https://www.lambdatest.com/integrations,Integrations,None,None
None,span,None,None,xxxl:w-6 xxl:w-5 w-4 xxxl:h-6 xxl:h-5 h-4 rounded-full bg-gray-110 xxxl:mx-23 xxl:mx-19 md:mx-15 mx-5,None,None,None,None,None,None,None
Privacy,a,None,None,xxxl:text-size-18 xxl:text-size-16 md:text-size-14 text-size-9 font-normal text-gray-110 tracking-custom  hover:underline hover:text-gray-110,None,None,None,https://www.lambdatest.com/legal/privacy,Privacy,None,None
None,span,None,None,xxxl:w-6 xxl:w-5 w-4 xxxl:h-6 xxl:h-5 h-4 rounded-full bg-gray-110 xxxl:mx-23 xxl:mx-19 md:mx-15 mx-5,None,None,None,None,None,None,None
Terms,a,None,None,xxxl:text-size-18 xxl:text-size-16 md:text-size-14 text-size-9 font-normal text-gray-110 tracking-custom  hover:underline hover:text-gray-110,None,None,None,https://www.lambdatest.com/legal/terms-of-service,Terms,None,None
"Pricing
Community
Contact
Affiliate
Customers",div,None,None,flex items-center justify-center xxxl:mt-13 xxl:mt-12 mt-11,None,None,None,None,"Pricing
Community
Contact
Affiliate
Customers",None,None
Pricing,a,None,None,xxxl:text-size-18 xxl:text-size-16 md:text-size-14 text-size-9 font-normal text-gray-110 tracking-custom  hover:underline hover:text-gray-110,None,None,None,https://www.lambdatest.com/pricing,Pricing,None,None
None,span,None,None,xxxl:w-6 xxl:w-5 w-4 xxxl:h-6 xxl:h-5 h-4 rounded-full bg-gray-110 xxxl:mx-23 xxl:mx-19 md:mx-15 mx-5,None,None,None,None,None,None,None
Community,a,None,None,xxxl:text-size-18 xxl:text-size-16 md:text-size-14 text-size-9 font-normal text-gray-110 tracking-custom  hover:underline hover:text-gray-110,None,None,None,https://community.lambdatest.com/,Community,None,None
None,span,None,None,xxxl:w-6 xxl:w-5 w-4 xxxl:h-6 xxl:h-5 h-4 rounded-full bg-gray-110 xxxl:mx-23 xxl:mx-19 md:mx-15 mx-5,None,None,None,None,None,None,None
Contact,a,None,None,xxxl:text-size-18 xxl:text-size-16 md:text-size-14 text-size-9 font-normal text-gray-110 tracking-custom  hover:underline hover:text-gray-110,None,None,None,https://www.lambdatest.com/contact-us,Contact,None,None
None,span,None,None,xxxl:w-6 xxl:w-5 w-4 xxxl:h-6 xxl:h-5 h-4 rounded-full bg-gray-110 xxxl:mx-23 xxl:mx-19 md:mx-15 mx-5,None,None,None,None,None,None,None
Affiliate,a,None,None,xxxl:text-size-18 xxl:text-size-16 md:text-size-14 text-size-9 font-normal text-gray-110 tracking-custom  hover:underline hover:text-gray-110,None,None,None,https://www.lambdatest.com/affiliate-program-partnership,Affiliate,None,None
None,span,None,None,xxxl:w-6 xxl:w-5 w-4 xxxl:h-6 xxl:h-5 h-4 rounded-full bg-gray-110 xxxl:mx-23 xxl:mx-19 md:mx-15 mx-5,None,None,None,None,None,None,None
Customers,a,None,None,xxxl:text-size-18 xxl:text-size-16 md:text-size-14 text-size-9 font-normal text-gray-110 tracking-custom  hover:underline hover:text-gray-110,None,None,None,https://www.lambdatest.com/customers/,Customers,None,None
None,div,None,None,None,None,None,None,None,None,None,None
None,script,None,None,None,None,None,None,None,None,None,None
None,script,None,text/javascript,None,None,None,None,None,None,None,None
None,div,None,None,None,None,None,None,None,None,None,None
None,script,None,text/javascript,None,None,None,None,None,None,None,None
None,script,None,text/javascript,None,None,None,None,None,None,None,None
None,script,None,text/javascript,None,None,None,None,None,None,None,None
None,script,None,text/javascript,None,None,None,None,None,None,None,None
None,script,None,text/javascript,None,None,None,None,None,None,None,None
None,script,None,text/javascript,None,None,None,None,None,None,None,None
None,div,None,None,None,None,None,None,None,None,None,None
None,script,None,None,None,None,None,None,None,None,None,None
None,script,None,text/javascript,None,None,None,None,None,None,None,None
None,div,None,None,None,None,None,None,None,None,None,None
None,script,None,text/javascript,None,None,None,None,None,None,None,None
None,script,None,text/javascript,None,None,None,None,None,None,None,None
None,div,batBeacon430915917657,None,None,None,None,None,None,None,None,None
None,img,batBeacon59315541638,None,None,None,None,None,None,None,None,None
None,script,None,text/javascript,None,None,None,None,None,None,None,None
